"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total","Margin of Error!!Median age --!!Total","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"0600000US2500100000","County subdivisions not defined, Barnstable County, Massachusetts","-","**","-","**","-","**"
"0600000US2500500000","County subdivisions not defined, Bristol County, Massachusetts","-","**","-","**","-","**"
"0600000US2500900000","County subdivisions not defined, Essex County, Massachusetts","-","**","-","**","-","**"
"0600000US2501900000","County subdivisions not defined, Nantucket County, Massachusetts","-","**","-","**","-","**"
"0600000US2502300000","County subdivisions not defined, Plymouth County, Massachusetts","-","**","-","**","-","**"
"0600000US2502500000","County subdivisions not defined, Suffolk County, Massachusetts","-","**","-","**","-","**"
"0600000US2501770360","Townsend town, Middlesex County, Massachusetts","39.9","2.8","39.9","4.2","39.9","4.1"
"0600000US2501328075","Hampden town, Hampden County, Massachusetts","50.8","1.5","49.5","2.5","51.6","2.0"
"0600000US2502350145","Norwell town, Plymouth County, Massachusetts","42.4","1.6","42.0","2.7","42.7","1.8"
"0600000US2502775400","West Brookfield town, Worcester County, Massachusetts","45.7","4.4","43.3","5.1","48.4","4.8"
"0600000US2500359665","Sandisfield town, Berkshire County, Massachusetts","48.5","3.9","46.6","5.2","49.9","2.3"
"0600000US2501737000","Lowell city, Middlesex County, Massachusetts","33.2","0.6","31.5","1.2","34.7","1.0"
"0600000US2502753225","Phillipston town, Worcester County, Massachusetts","45.8","2.7","47.3","4.9","45.6","2.4"
"0600000US2501743895","Natick town, Middlesex County, Massachusetts","40.2","0.8","37.9","1.3","42.5","1.9"
"0600000US2502354310","Plymouth town, Plymouth County, Massachusetts","47.0","0.8","44.5","1.1","49.0","1.1"
"0600000US2501158335","Rowe town, Franklin County, Massachusetts","56.5","8.2","56.5","11.2","56.5","11.0"
"0600000US2501531785","Huntington town, Hampshire County, Massachusetts","46.4","2.6","43.5","6.6","47.4","2.9"
"0600000US2501773440","Watertown Town city, Middlesex County, Massachusetts","38.9","1.0","38.1","2.0","39.4","0.8"
"0600000US2500941095","Middleton town, Essex County, Massachusetts","42.0","3.7","38.8","4.3","44.9","4.5"
"0600000US2501762535","Somerville city, Middlesex County, Massachusetts","31.2","0.4","31.0","0.5","31.5","0.5"
"0600000US2501740115","Melrose city, Middlesex County, Massachusetts","39.6","1.6","38.1","2.1","41.8","2.0"
