"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0600000US2502124820","Foxborough town, Norfolk County, Massachusetts","17535","27","15774","512","919","424","0","19","359","186","0","19","52","62","431","222","62","94","369","193"
"0600000US2502139975","Medway town, Norfolk County, Massachusetts","13244","34","12226","351","385","270","3","7","396","206","0","19","39","47","195","101","0","19","195","101"
"0600000US2502167945","Stoughton town, Norfolk County, Massachusetts","28534","41","21249","713","4116","501","190","174","1221","312","0","23","767","308","991","437","272","320","719","243"
"0600000US2502114640","Cohasset town, Norfolk County, Massachusetts","8449","16","8235","155","58","70","7","11","64","81","0","17","12","21","73","65","0","17","73","65"
"0600000US2502130455","Holbrook town, Norfolk County, Massachusetts","11036","28","8783","649","1355","494","0","19","493","295","0","19","216","221","189","206","87","127","102","117"
"0600000US2502174175","Wellesley town, Norfolk County, Massachusetts","29201","44","23682","448","874","235","29","43","3486","338","20","22","223","112","887","188","94","54","793","174"
"0600000US2502116495","Dedham town, Norfolk County, Massachusetts","25377","25","21220","677","2225","493","56","46","759","265","14","21","486","222","617","284","303","259","314","110"
"0600000US2502160785","Sharon town, Norfolk County, Massachusetts","18400","41","14169","477","519","316","8","13","3017","301","0","19","342","283","345","185","10","15","335","180"
"0600000US2502182315","Wrentham town, Norfolk County, Massachusetts","11734","21","11324","232","300","218","3","8","75","58","0","19","27","32","5","8","5","8","0","19"
