"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree"
"0600000US2502124820","Foxborough town, Norfolk County, Massachusetts","12456","352","217","268","9","14","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","31","30","58","43","283","320","91","61","91","69","2019","308","327","133","747","180","1300","257","908","205","3773","312","1984","283","372","143","246","108"
"0600000US2502139975","Medway town, Norfolk County, Massachusetts","8933","240","62","59","0","19","0","19","0","19","0","19","0","19","48","54","0","19","12","19","11","13","24","32","12","16","54","44","142","91","57","48","1211","201","222","109","406","123","797","199","664","168","3219","293","1661","268","131","55","200","121"
"0600000US2502167945","Stoughton town, Norfolk County, Massachusetts","20804","363","325","132","0","23","0","23","0","23","20","23","21","27","240","145","23","20","7","12","102","74","206","113","156","77","206","89","270","114","331","112","4798","467","616","169","1089","195","2638","314","2022","316","4921","411","2385","353","284","116","144","63"
"0600000US2502114640","Cohasset town, Norfolk County, Massachusetts","5667","204","40","51","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","11","25","0","17","0","17","21","33","23","40","28","42","709","202","78","76","184","90","362","141","238","127","2108","299","1278","208","503","172","84","74"
"0600000US2502130455","Holbrook town, Norfolk County, Massachusetts","7648","241","49","54","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","11","19","29","27","59","64","135","100","26","31","57","47","2103","336","199","99","477","174","1612","349","905","266","1175","243","633","181","74","60","104","118"
"0600000US2502174175","Wellesley town, Norfolk County, Massachusetts","16239","374","57","41","0","23","10","16","0","23","0","23","0","23","0","23","0","23","8","16","10","21","58","33","25","35","17","21","39","46","83","45","895","194","53","36","277","89","696","166","469","103","5654","362","4541","306","1928","216","1419","215"
"0600000US2502116495","Dedham town, Norfolk County, Massachusetts","18621","354","161","84","0","23","8","13","0","23","69","103","6","12","59","81","0","23","36","31","3","7","97","39","89","42","165","96","201","105","150","61","3406","345","500","133","985","188","1917","331","1210","204","5061","376","3283","353","663","149","552","181"
"0600000US2502160785","Sharon town, Norfolk County, Massachusetts","12308","253","85","63","0","19","0","19","0","19","0","19","9","14","0","19","0","19","23","35","30","44","33","36","5","9","58","66","88","79","12","21","680","206","84","57","249","97","1127","269","764","187","3766","379","3016","349","1412","253","867","198"
"0600000US2502182315","Wrentham town, Norfolk County, Massachusetts","7846","200","24","22","13","16","0","19","0","19","0","19","0","19","0","19","0","19","4","9","0","19","8","13","20","24","94","77","28","26","39","35","1556","184","55","41","339","93","766","149","879","160","2664","250","1001","202","239","73","117","58"
