"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0600000US2502124820","Foxborough town, Norfolk County, Massachusetts","98374","6328"
"0600000US2502139975","Medway town, Norfolk County, Massachusetts","119450","9298"
"0600000US2502167945","Stoughton town, Norfolk County, Massachusetts","79421","4473"
"0600000US2502114640","Cohasset town, Norfolk County, Massachusetts","132204","30148"
"0600000US2502130455","Holbrook town, Norfolk County, Massachusetts","70364","7972"
"0600000US2502174175","Wellesley town, Norfolk County, Massachusetts","188908","7736"
"0600000US2502116495","Dedham town, Norfolk County, Massachusetts","96992","8120"
"0600000US2502160785","Sharon town, Norfolk County, Massachusetts","138396","10215"
"0600000US2502182315","Wrentham town, Norfolk County, Massachusetts","113017","12469"
"0600000US2502141690","Milton town, Norfolk County, Massachusetts","127448","7315"
"0600000US2502155745","Quincy city, Norfolk County, Massachusetts","74180","2927"
"0600000US2502102935","Avon town, Norfolk County, Massachusetts","69868","8753"
"0600000US2502178690","Westwood town, Norfolk County, Massachusetts","155706","10872"
"0600000US2502155955","Randolph town, Norfolk County, Massachusetts","73697","4442"
"0600000US2502768610","Sutton town, Worcester County, Massachusetts","102439","10134"
"0600000US2502747135","North Brookfield town, Worcester County, Massachusetts","73599","5345"
"0600000US2502780405","Winchendon town, Worcester County, Massachusetts","71895","13447"
"0600000US2502751825","Oxford town, Worcester County, Massachusetts","71327","7833"
"0600000US2502766105","Spencer town, Worcester County, Massachusetts","71830","6734"
"0600000US2502773090","Warren town, Worcester County, Massachusetts","69851","28114"
"0600000US2502702480","Athol town, Worcester County, Massachusetts","54028","6583"
"0600000US2502706365","Bolton town, Worcester County, Massachusetts","155093","17417"
"0600000US2502712715","Charlton town, Worcester County, Massachusetts","97805","8924"
"0600000US2502752420","Paxton town, Worcester County, Massachusetts","99875","24973"
"0600000US2502701885","Ashburnham town, Worcester County, Massachusetts","97561","19299"
"0600000US2502758580","Royalston town, Worcester County, Massachusetts","73750","13820"
"0600000US2502718560","East Brookfield town, Worcester County, Massachusetts","84444","6391"
"0600000US2502740255","Mendon town, Worcester County, Massachusetts","132063","22815"
"0600000US2502741165","Milford town, Worcester County, Massachusetts","82129","6634"
"0600000US2502741585","Millville town, Worcester County, Massachusetts","78704","7529"
"0600000US2502768155","Sturbridge town, Worcester County, Massachusetts","91440","16817"
"0600000US2502771480","Upton town, Worcester County, Massachusetts","124856","10603"
"0600000US2502705490","Berlin town, Worcester County, Massachusetts","104063","15724"
"0600000US2502735075","Leominster city, Worcester County, Massachusetts","58205","3442"
"0600000US2502755395","Princeton town, Worcester County, Massachusetts","134191","12083"
"0600000US2502758825","Rutland town, Worcester County, Massachusetts","104050","8992"
"0600000US2502769275","Templeton town, Worcester County, Massachusetts","70030","11247"
"0600000US2502702760","Auburn town, Worcester County, Massachusetts","83014","4461"
"0600000US2502730560","Holden town, Worcester County, Massachusetts","105000","5716"
"0600000US2502745105","New Braintree town, Worcester County, Massachusetts","89167","11587"
"0600000US2502723875","Fitchburg city, Worcester County, Massachusetts","55277","4398"
"0600000US2502725485","Gardner city, Worcester County, Massachusetts","50239","4856"
"0600000US2502726430","Grafton town, Worcester County, Massachusetts","102737","5152"
"0600000US2502737420","Lunenburg town, Worcester County, Massachusetts","101510","6813"
"0600000US2502761800","Shrewsbury town, Worcester County, Massachusetts","105959","4457"
"0600000US2502773895","Webster town, Worcester County, Massachusetts","57924","7480"
"0600000US2502777010","Westminster town, Worcester County, Massachusetts","98714","7277"
"0600000US2502709105","Brookfield town, Worcester County, Massachusetts","68125","11348"
"0600000US2502717300","Douglas town, Worcester County, Massachusetts","95567","4471"
"0600000US2502731435","Hubbardston town, Worcester County, Massachusetts","95530","10783"
"0600000US2502734795","Leicester town, Worcester County, Massachusetts","82229","10571"
"0600000US2502746820","Northborough town, Worcester County, Massachusetts","113608","10627"
"0600000US2502746925","Northbridge town, Worcester County, Massachusetts","78230","6302"
"0600000US2502706015","Blackstone town, Worcester County, Massachusetts","86513","12640"
"0600000US2502717685","Dudley town, Worcester County, Massachusetts","67117","5611"
"0600000US2502741340","Millbury town, Worcester County, Massachusetts","81804","8594"
"0600000US2502775015","Westborough town, Worcester County, Massachusetts","108767","9930"
"0600000US2502782000","Worcester city, Worcester County, Massachusetts","46407","1717"
"0600000US2502771620","Uxbridge town, Worcester County, Massachusetts","101859","6370"
"0600000US2502714395","Clinton town, Worcester County, Massachusetts","66094","7398"
"0600000US2502775400","West Brookfield town, Worcester County, Massachusetts","72931","8695"
"0600000US2502753120","Petersham town, Worcester County, Massachusetts","68405","4443"
"0600000US2502500000","County subdivisions not defined, Suffolk County, Massachusetts","-","**"
"0600000US2501546330","Northampton city, Hampshire County, Massachusetts","64850","3951"
"0600000US2502556585","Revere city, Suffolk County, Massachusetts","55020","3422"
"0600000US2502507000","Boston city, Suffolk County, Massachusetts","65883","1059"
"0600000US2502513205","Chelsea city, Suffolk County, Massachusetts","53280","3674"
"0600000US2500112995","Chatham town, Barnstable County, Massachusetts","77878","13454"
"0600000US2500119295","Eastham town, Barnstable County, Massachusetts","68161","7180"
"0600000US2500123105","Falmouth town, Barnstable County, Massachusetts","73201","4434"
"0600000US2500107175","Bourne town, Barnstable County, Massachusetts","74668","3916"
"0600000US2500116775","Dennis town, Barnstable County, Massachusetts","59805","5262"
"0600000US2500139100","Mashpee town, Barnstable County, Massachusetts","71810","7797"
"0600000US2500100000","County subdivisions not defined, Barnstable County, Massachusetts","-","**"
"0600000US2500174385","Wellfleet town, Barnstable County, Massachusetts","69267","7140"
"0600000US2500151440","Orleans town, Barnstable County, Massachusetts","71418","8958"
"0600000US2500159735","Sandwich town, Barnstable County, Massachusetts","95600","7979"
"0600000US2500155500","Provincetown town, Barnstable County, Massachusetts","50741","7720"
"0600000US2500129020","Harwich town, Barnstable County, Massachusetts","75352","5068"
"0600000US2500726325","Gosnold town, Dukes County, Massachusetts","126250","59419"
"0600000US2500713800","Chilmark town, Dukes County, Massachusetts","106000","38793"
"0600000US2500769940","Tisbury town, Dukes County, Massachusetts","50301","7461"
"0600000US2500778235","West Tisbury town, Dukes County, Massachusetts","94306","15031"
"0600000US2500750390","Oak Bluffs town, Dukes County, Massachusetts","82045","26322"
"0600000US2501717825","Dunstable town, Middlesex County, Massachusetts","131250","13582"
"0600000US2501730700","Holliston town, Middlesex County, Massachusetts","125625","13680"
"0600000US2501554030","Plainfield town, Hampshire County, Massachusetts","52750","8769"
"0600000US2501576380","Westhampton town, Hampshire County, Massachusetts","89545","9233"
"0600000US2500300975","Alford town, Berkshire County, Massachusetts","106406","11314"
"0600000US2500353960","Pittsfield city, Berkshire County, Massachusetts","48555","2096"
"0600000US2500321360","Egremont town, Berkshire County, Massachusetts","68125","7376"
"0600000US2500345420","New Marlborough town, Berkshire County, Massachusetts","76731","14174"
"0600000US2500356795","Richmond town, Berkshire County, Massachusetts","90714","22580"
"0600000US2500373335","Washington town, Berkshire County, Massachusetts","82500","20636"
"0600000US2500304545","Becket town, Berkshire County, Massachusetts","74659","10930"
"0600000US2501352144","Palmer Town city, Hampden County, Massachusetts","60333","8477"
"0600000US2501377890","West Springfield Town city, Hampden County, Massachusetts","51472","4166"
"0600000US2501773440","Watertown Town city, Middlesex County, Massachusetts","97929","6639"
"0600000US2502107740","Braintree Town city, Norfolk County, Massachusetts","94945","5125"
"0600000US2502125172","Franklin Town city, Norfolk County, Massachusetts","115355","6428"
"0600000US2502581005","Winthrop Town city, Suffolk County, Massachusetts","68322","4462"
"0600000US2502763345","Southbridge Town city, Worcester County, Massachusetts","50787","3286"
"0600000US2500901260","Amesbury Town city, Essex County, Massachusetts","80721","4536"
"0600000US2500940710","Methuen Town city, Essex County, Massachusetts","74912","4311"
"0600000US2501127100","Greenfield Town city, Franklin County, Massachusetts","48653","4273"
"0600000US2501300840","Agawam Town city, Hampden County, Massachusetts","67219","4646"
"0600000US2500103690","Barnstable Town city, Barnstable County, Massachusetts","68919","2495"
"0600000US2501724960","Framingham city, Middlesex County, Massachusetts","79136","4970"
"0600000US2500334970","Lenox town, Berkshire County, Massachusetts","72411","13529"
"0600000US2500353050","Peru town, Berkshire County, Massachusetts","70673","7139"
"0600000US2500359665","Sandisfield town, Berkshire County, Massachusetts","69135","15880"
"0600000US2500367595","Stockbridge town, Berkshire County, Massachusetts","48493","13354"
"0600000US2500326815","Great Barrington town, Berkshire County, Massachusetts","56622","16012"
"0600000US2500380685","Windsor town, Berkshire County, Massachusetts","83583","15193"
"0600000US2500500520","Acushnet town, Bristol County, Massachusetts","72125","5556"
