Locality,,,Yes,No,Blanks,"Total Votes Cast"
Barnstable,,,"21,155","6,433","1,096","28,684"
Bourne,,,"8,455","2,655","1,136","12,246"
Brewster,,,"5,739","1,427",328,"7,494"
Chatham,,,"3,799","1,093",230,"5,122"
Dennis,,,"7,844","2,101",429,"10,374"
Eastham,,,"3,216",775,126,"4,117"
Falmouth,,,"16,108","4,899","1,047","22,054"
Harwich,,,"7,087","2,064",366,"9,517"
Mashpee,,,"7,492","2,367",498,"10,357"
Orleans,,,"3,763",894,228,"4,885"
Provincetown,,,"1,929",559,132,"2,620"
Sandwich,,,"10,421","3,091",668,"14,180"
Truro,,,"1,323",369,76,"1,768"
Wellfleet,,,"1,932",499,101,"2,532"
Yarmouth,,,"11,459","3,362",741,"15,562"
Adams,,,"2,976","1,281",211,"4,468"
Alford,,,229,88,13,330
Becket,,,876,232,90,"1,198"
Cheshire,,,"1,265",618,83,"1,966"
Clarksburg,,,687,269,46,"1,002"
Dalton,,,"2,674",958,200,"3,832"
Egremont,,,671,215,90,976
Florida,,,280,125,15,420
"Great Barrington",,,"2,644","1,129",354,"4,127"
Hancock,,,298,147,37,482
Hinsdale,,,817,326,73,"1,216"
Lanesborough,,,"1,164",599,133,"1,896"
Lee,,,"2,476",852,178,"3,506"
Lenox,,,"2,347",813,222,"3,382"
Monterey,,,418,130,48,596
"Mount Washington",,,94,28,6,128
"New Ashford",,,96,41,18,155
"New Marlborough",,,656,226,84,966
"N. Adams",,,"4,084","1,535",367,"5,986"
Otis,,,656,289,72,"1,017"
Peru,,,374,134,27,535
Pittsfield,,,"14,281","6,329","1,416","22,026"
Richmond,,,788,223,53,"1,064"
Sandisfield,,,328,152,43,523
Savoy,,,277,102,48,427
Sheffield,,,"1,398",624,152,"2,174"
Stockbridge,,,932,305,133,"1,370"
Tyringham,,,210,86,21,317
Washington,,,278,62,13,353
"W. Stockbridge",,,674,238,63,975
Williamstown,,,"2,684",833,260,"3,777"
Windsor,,,433,132,16,581
Acushnet,,,"3,871","1,906",349,"6,126"
Attleboro,,,"15,570","7,354",767,"23,691"
Berkley,,,"2,818","1,100",225,"4,143"
Dartmouth,,,"12,406","4,488","1,085","17,979"
Dighton,,,"3,086","1,336",321,"4,743"
Easton,,,"10,221","3,749",635,"14,605"
Fairhaven,,,"6,799","2,351",479,"9,629"
"Fall River",,,"19,145","10,418","2,637","32,200"
Freetown,,,"3,692","1,614",227,"5,533"
Mansfield,,,"10,359","3,648",630,"14,637"
"New Bedford",,,"22,970","9,617","2,498","35,085"
"N. Attleborough",,,"11,742","5,013",545,"17,300"
Norton,,,"7,862","2,626",539,"11,027"
Raynham,,,"5,930","2,357",572,"8,859"
Rehoboth,,,"5,092","2,557",295,"7,944"
Seekonk,,,"5,491","3,116",396,"9,003"
Somerset,,,"7,064","3,590",558,"11,212"
Swansea,,,"6,029","3,506",535,"10,070"
Taunton,,,"17,890","6,892","2,170","26,952"
Westport,,,"6,795","3,344",487,"10,626"
Aquinnah,,,259,77,19,355
Chilmark,,,684,194,46,924
Edgartown,,,"2,278",666,182,"3,126"
Gosnold,,,56,22,4,82
"Oak Bluffs",,,"2,327",733,165,"3,225"
Tisbury,,,"2,038",610,210,"2,858"
"W. Tisbury",,,"1,772",448,83,"2,303"
Amesbury,,,"7,605","2,512",345,"10,462"
Andover,,,"15,310","5,816",775,"21,901"
Beverly,,,"19,086","4,885",733,"24,704"
Boxford,,,"4,069","1,336",177,"5,582"
Danvers,,,"12,736","3,822",504,"17,062"
Essex,,,"2,015",431,82,"2,528"
Georgetown,,,"4,285","1,088",242,"5,615"
Gloucester,,,"13,814","3,624",875,"18,313"
Groveland,,,"3,478",970,118,"4,566"
Hamilton,,,"3,872","1,006",150,"5,028"
Haverhill,,,"22,432","8,630","1,510","32,572"
Ipswich,,,"7,475","1,868",385,"9,728"
Lawrence,,,"14,819","6,128","2,420","23,367"
Lynn,,,"24,373","9,185","2,468","36,026"
Lynnfield,,,"6,006","2,115",279,"8,400"
Manchester-by-the-Sea,,,"2,929",778,134,"3,841"
Marblehead,,,"10,833","3,016",494,"14,343"
Merrimac,,,"3,188",983,250,"4,421"
Methuen,,,"17,406","7,537","1,153","26,096"
Middleton,,,"4,221","1,524",160,"5,905"
Nahant,,,"1,924",496,113,"2,533"
Newbury,,,"3,946",951,144,"5,041"
Newburyport,,,"9,713","2,778",406,"12,897"
"N. Andover",,,"12,573","4,923",626,"18,122"
Peabody,,,"21,657","7,337","1,267","30,261"
Rockport,,,"4,220",867,222,"5,309"
Rowley,,,"3,117",990,130,"4,237"
Salem,,,"17,953","4,753","1,433","24,139"
Salisbury,,,"3,917","1,512",167,"5,596"
Saugus,,,"11,258","3,617","1,027","15,902"
Swampscott,,,"7,082","2,139",449,"9,670"
Topsfield,,,"3,058",997,432,"4,487"
Wenham,,,"2,028",536,83,"2,647"
"W. Newbury",,,"2,539",682,77,"3,298"
Ashfield,,,977,208,45,"1,230"
Bernardston,,,"1,006",305,74,"1,385"
Buckland,,,984,178,41,"1,203"
Charlemont,,,566,155,28,749
Colrain,,,819,150,43,"1,012"
Conway,,,"1,064",209,35,"1,308"
Deerfield,,,"2,487",201,682,"3,370"
Erving,,,685,212,39,936
Gill,,,775,179,35,989
Greenfield,,,"7,267","1,817",623,"9,707"
Hawley,,,169,45,17,231
Heath,,,363,86,21,470
Leverett,,,"1,147",181,62,"1,390"
Leyden,,,413,71,19,503
Monroe,,,34,22,4,60
Montague,,,"3,802",945,178,"4,925"
"New Salem",,,527,128,26,681
Northfield,,,"1,359",414,96,"1,869"
Orange,,,"2,781",909,126,"3,816"
Rowe,,,212,51,6,269
Shelburne,,,959,175,108,"1,242"
Shutesbury,,,"1,104",191,44,"1,339"
Sunderland,,,"1,592",407,62,"2,061"
Warwick,,,428,84,14,526
Wendell,,,497,95,24,616
Whately,,,844,238,34,"1,116"
Agawam,,,"11,577","4,095",590,"16,262"
Blandford,,,607,148,26,781
Brimfield,,,"1,688",583,78,"2,349"
Chester,,,568,164,17,749
Chicopee,,,"18,023","6,799","1,104","25,926"
"E. Longmeadow",,,"7,094","2,648",429,"10,171"
Granville,,,305,648,49,"1,002"
